item_id,item_type,item_name,item_cost
poisonpowder,skill,Poison Powder,300
poisonsting,skill,Poison Sting,300
poisontail,skill,Poison Tail,400
pollenpuff,skill,Pollen Puff,500
pound,skill,Pound,400
powder,skill,Powder,300
powdersnow,skill,Powder Snow,400
powergem,skill,Power Gem,500
powersplit,skill,Power Split,300
powerswap,skill,Power Swap,300
powertrick,skill,Power Trick,300
powertrip,skill,Power Trip,300
poweruppunch,skill,Power-Up Punch,400
powerwhip,skill,Power Whip,800
precipiceblades,skill,Precipice Blades,800
present,skill,Present,300
prismaticlaser,skill,Prismatic Laser,800
protect,skill,Protect,300
psybeam,skill,Psybeam,500
psychic,skill,Psychic,500
psychicfangs,skill,Psychic Fangs,500
psychicterrain,skill,Psychic Terrain,300
psychoboost,skill,Psycho Boost,800
psychocut,skill,Psycho Cut,500
psychoshift,skill,Psycho Shift,300
psychup,skill,Psych Up,300
psyshock,skill,Psyshock,500
psystrike,skill,Psystrike,650
psywave,skill,Psywave,300
pulverizingpancake,skill,Pulverizing Pancake,800
punishment,skill,Punishment,300
purify,skill,Purify,300
pursuit,skill,Pursuit,400
quash,skill,Quash,300
quickattack,skill,Quick Attack,400
quickguard,skill,Quick Guard,300
quiverdance,skill,Quiver Dance,300
rage,skill,Rage,300
ragepowder,skill,Rage Powder,300
raindance,skill,Rain Dance,300
rapidspin,skill,Rapid Spin,300
razorleaf,skill,Razor Leaf,400
razorshell,skill,Razor Shell,500
razorwind,skill,Razor Wind,500
recover,skill,Recover,300
recycle,skill,Recycle,300
reflect,skill,Reflect,300
reflecttype,skill,Reflect Type,300
refresh,skill,Refresh,300
relicsong,skill,Relic Song,500
rest,skill,Rest,300
retaliate,skill,Retaliate,500
return,skill,Return,300
revelationdance,skill,Revelation Dance,500
revenge,skill,Revenge,400
reversal,skill,Reversal,300
roar,skill,Roar,300
roaroftime,skill,Roar of Time,800
rockblast,skill,Rock Blast,300
rockclimb,skill,Rock Climb,500
rockpolish,skill,Rock Polish,300
rockslide,skill,Rock Slide,500
rocksmash,skill,Rock Smash,400
rockthrow,skill,Rock Throw,400
rocktomb,skill,Rock Tomb,400
rockwrecker,skill,Rock Wrecker,800
roleplay,skill,Role Play,300
rollingkick,skill,Rolling Kick,400
rollout,skill,Rollout,300
roost,skill,Roost,300
rototiller,skill,Rototiller,300
round,skill,Round,400
sacredfire,skill,Sacred Fire,650
sacredsword,skill,Sacred Sword,500
safeguard,skill,Safeguard,300
sandattack,skill,Sand Attack,300
sandstorm,skill,Sandstorm,300
sandtomb,skill,Sand Tomb,400
savagespinout,skill,Savage Spin-Out,300
scald,skill,Scald,500
scaryface,skill,Scary Face,300
scratch,skill,Scratch,400
screech,skill,Screech,300
searingshot,skill,Searing Shot,650
searingsunrazesmash,skill,Searing Sunraze Smash,800
secretpower,skill,Secret Power,500
secretsword,skill,Secret Sword,500
seedbomb,skill,Seed Bomb,500
seedflare,skill,Seed Flare,800
seismictoss,skill,Seismic Toss,300
selfdestruct,skill,Self-Destruct,800
shadowball,skill,Shadow Ball,500
shadowbone,skill,Shadow Bone,500
shadowclaw,skill,Shadow Claw,500
shadowforce,skill,Shadow Force,800
shadowpunch,skill,Shadow Punch,400
shadowsneak,skill,Shadow Sneak,400
sharpen,skill,Sharpen,300
shatteredpsyche,skill,Shattered Psyche,300
sheercold,skill,Sheer Cold,300
shellsmash,skill,Shell Smash,300
shelltrap,skill,Shell Trap,800
shiftgear,skill,Shift Gear,300
shockwave,skill,Shock Wave,400
shoreup,skill,Shore Up,300
signalbeam,skill,Signal Beam,500
silverwind,skill,Silver Wind,400
simplebeam,skill,Simple Beam,300
sing,skill,Sing,300
sinisterarrowraid,skill,Sinister Arrow Raid,800
sketch,skill,Sketch,300
skillswap,skill,Skill Swap,300
skullbash,skill,Skull Bash,800
skyattack,skill,Sky Attack,800
skydrop,skill,Sky Drop,400
skyuppercut,skill,Sky Uppercut,500
slackoff,skill,Slack Off,300
slam,skill,Slam,500
slash,skill,Slash,500
sleeppowder,skill,Sleep Powder,300
sleeptalk,skill,Sleep Talk,300
sludge,skill,Sludge,500
sludgebomb,skill,Sludge Bomb,500
sludgewave,skill,Sludge Wave,650
smackdown,skill,Smack Down,400
smartstrike,skill,Smart Strike,500
smellingsalts,skill,Smelling Salts,500
smog,skill,Smog,300
smokescreen,skill,Smokescreen,300
snarl,skill,Snarl,400
snatch,skill,Snatch,300
snore,skill,Snore,400
soak,skill,Soak,300
softboiled,skill,Soft-Boiled,300
solarbeam,skill,Solar Beam,800
solarblade,skill,Solar Blade,800
sonicboom,skill,Sonic Boom,300
soulstealing7starstrike,skill,Soul-Stealing 7-Star Strike,800
spacialrend,skill,Spacial Rend,650
spark,skill,Spark,500
sparklingaria,skill,Sparkling Aria,500
spectralthief,skill,Spectral Thief,500
speedswap,skill,Speed Swap,300
spiderweb,skill,Spider Web,300
spikecannon,skill,Spike Cannon,300
spikes,skill,Spikes,300
spikyshield,skill,Spiky Shield,300
spiritshackle,skill,Spirit Shackle,500
spite,skill,Spite,300
spitup,skill,Spit Up,300
splash,skill,Splash,300
splinteredstormshards,skill,Splintered Stormshards,800
spore,skill,Spore,300
spotlight,skill,Spotlight,300
stealthrock,skill,Stealth Rock,300
steameruption,skill,Steam Eruption,650
steamroller,skill,Steamroller,500
steelwing,skill,Steel Wing,500
stickyweb,skill,Sticky Web,300
stockpile,skill,Stockpile,300
stokedsparksurfer,skill,Stoked Sparksurfer,800
stomp,skill,Stomp,500
stompingtantrum,skill,Stomping Tantrum,500
stoneedge,skill,Stone Edge,650
storedpower,skill,Stored Power,300
stormthrow,skill,Storm Throw,400
strength,skill,Strength,500
strengthsap,skill,Strength Sap,300
stringshot,skill,String Shot,300
struggle,skill,Struggle,400
strugglebug,skill,Struggle Bug,400
stunspore,skill,Stun Spore,300
submission,skill,Submission,500
substitute,skill,Substitute,300
subzeroslammer,skill,Subzero Slammer,300
suckerpunch,skill,Sucker Punch,500
sunnyday,skill,Sunny Day,300
sunsteelstrike,skill,Sunsteel Strike,650
superfang,skill,Super Fang,300
superpower,skill,Superpower,800
supersonic,skill,Supersonic,300
supersonicskystrike,skill,Supersonic Skystrike,300
surf,skill,Surf,500
swagger,skill,Swagger,300
swallow,skill,Swallow,300
sweetkiss,skill,Sweet Kiss,300
sweetscent,skill,Sweet Scent,300
swift,skill,Swift,400
switcheroo,skill,Switcheroo,300
swordsdance,skill,Swords Dance,300
synchronoise,skill,Synchronoise,800
synthesis,skill,Synthesis,300
tackle,skill,Tackle,400
tailglow,skill,Tail Glow,300
tailslap,skill,Tail Slap,300
tailwhip,skill,Tail Whip,300
tailwind,skill,Tailwind,300
takedown,skill,Take Down,500
taunt,skill,Taunt,300
tearfullook,skill,Tearful Look,300
technoblast,skill,Techno Blast,800
tectonicrage,skill,Tectonic Rage,300
teeterdance,skill,Teeter Dance,300
telekinesis,skill,Telekinesis,300
teleport,skill,Teleport,300
thief,skill,Thief,400
thousandarrows,skill,Thousand Arrows,500
thousandwaves,skill,Thousand Waves,500
thrash,skill,Thrash,800
throatchop,skill,Throat Chop,500
thunder,skill,Thunder,650
thunderbolt,skill,Thunderbolt,500
thunderfang,skill,Thunder Fang,500
thunderpunch,skill,Thunder Punch,500
thundershock,skill,Thunder Shock,400
thunderwave,skill,Thunder Wave,300
tickle,skill,Tickle,300
topsyturvy,skill,Topsy-Turvy,300
torment,skill,Torment,300
toxic,skill,Toxic,300
toxicspikes,skill,Toxic Spikes,300
toxicthread,skill,Toxic Thread,300
transform,skill,Transform,300
triattack,skill,Tri Attack,500
trick,skill,Trick,300
trickortreat,skill,Trick-or-Treat,300
trickroom,skill,Trick Room,300
triplekick,skill,Triple Kick,300
tropkick,skill,Trop Kick,500
trumpcard,skill,Trump Card,300
twineedle,skill,Twineedle,300
twinkletackle,skill,Twinkle Tackle,300
twister,skill,Twister,400
uproar,skill,Uproar,500
uturn,skill,U-turn,500
vacuumwave,skill,Vacuum Wave,400
vcreate,skill,V-create,800
venomdrench,skill,Venom Drench,300
venoshock,skill,Venoshock,500
vinewhip,skill,Vine Whip,400
visegrip,skill,Vise Grip,400
vitalthrow,skill,Vital Throw,500
voltswitch,skill,Volt Switch,500
volttackle,skill,Volt Tackle,800
wakeupslap,skill,Wake-Up Slap,500
waterfall,skill,Waterfall,500
watergun,skill,Water Gun,400
waterpledge,skill,Water Pledge,500
waterpulse,skill,Water Pulse,400
watershuriken,skill,Water Shuriken,300
watersport,skill,Water Sport,300
waterspout,skill,Water Spout,800
weatherball,skill,Weather Ball,400
whirlpool,skill,Whirlpool,400
whirlwind,skill,Whirlwind,300
wideguard,skill,Wide Guard,300
wildcharge,skill,Wild Charge,500
willowisp,skill,Will-O-Wisp,300
wingattack,skill,Wing Attack,400
wish,skill,Wish,300
withdraw,skill,Withdraw,300
wonderroom,skill,Wonder Room,300
woodhammer,skill,Wood Hammer,800
workup,skill,Work Up,300
worryseed,skill,Worry Seed,300
wrap,skill,Wrap,300
wringout,skill,Wring Out,300
xscissor,skill,X-Scissor,500
yawn,skill,Yawn,300
zapcannon,skill,Zap Cannon,800
zenheadbutt,skill,Zen Headbutt,500
zingzap,skill,Zing Zap,500
